stcd,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,,,,Floor,Geom Mean,Arith Mean,Quota,,,,794110,,2,,,
NM,360350,423317,531818,681187,951023,1026664,1299968,1521779,1823821,2067273,2106319,2120220,0.66%,,2,2.449489743,2.5,2.785479333,0.785479333,3,X,2.778814796,3,0,0.335989591,3,0
ME,768014,797423,847226,913774,969265,1006320,1124660,1233223,1277731,1333074,1350141,1363582,1.00%,,1,1.414213562,1.5,1.791431776,0.791431776,2,X,1.787145597,2,0,0.377218214,2,0
NH,443083,465293,491524,533242,606921,746284,920610,1113915,1238415,1321445,1366275,1379089,0.94%,,1,1.414213562,1.5,1.811804392,0.811804392,2,X,1.807469469,2,0,0.39759083,2,0
VT,352428,359611,359231,377747,389881,448327,511456,564964,609890,630337,623347,643503,3.23%,,0,1,0.5,0.8454143,0.8454143,1,X,0.843391562,1,0,-0.1545857,1,0
IL,6485280,7630654,7897241,8712176,10081158,11184320,11418461,11466682,12439042,12864380,12587530,12822739,1.87%,,16,16.4924225,16.5,16.84611714,0.846117139,17,X,16.80581112,17,0,0.353694637,17,0
KS,1769257,1880999,1801028,1905299,2178611,2265846,2363208,2485600,2693824,2863813,2913805,2940865,0.93%,,3,3.464101615,3.5,3.863617304,0.863617304,4,X,3.854373213,4,0,0.399515689,4,0
MS,1790618,2009821,2183796,2178914,2178141,2233848,2520638,2586443,2852927,2978240,2966786,2963914,-0.10%,,3,3.464101615,3.5,3.893898366,0.893898366,4,X,3.884581825,4,0,0.42979675,4,0
HI,0,0,0,0,632772,784901,965000,1115274,1216642,1366862,1407006,1460137,3.78%,,1,1.414213562,1.5,1.918282743,0.918282743,2,X,1.91369306,2,0,0.504069181,2,0
IN,2930390,3238503,3427796,3934224,4662498,5228156,5490179,5564228,6090782,6501582,6754953,6790280,0.52%,,8,8.485281374,8.5,8.920859443,0.920859443,9,X,8.899515395,9,0,0.435578068,9,0
KY,2416630,2614589,2845627,2944806,3038156,3246481,3661433,3698969,4049431,4350606,4477251,4509342,0.72%,,5,5.477225575,5.5,5.924233781,0.924233781,6,X,5.91005946,6,0,0.447008206,6,0
AR,1752204,1854482,1949387,1909511,1786272,1942303,2285513,2362239,2679733,2926229,3030522,3013756,-0.55%,,3,3.464101615,3.5,3.959379241,0.959379241,4,X,3.94990603,4,0,0.495277626,4,0
AK,0,0,0,0,226167,304067,400481,551947,628933,721523,731158,736081,0.67%,,0,1,0.5,0.967040408,0.967040408,1,X,0.964726667,1,0,-0.032959592,1,0
CA,3426861,5677251,6907387,10586223,15717204,20098863,23668562,29839250,33930798,37341989,39368078,39576757,0.53%,,51,51.49757276,51.5,51.99471692,0.994716918,52,X,51.87031436,52,0,0.49714416,52,0
,,,,,,,,,,,328771307,331108434,0.71%,,410,435.0351977,410.5,,-410,437,,,435,,-435.0351977,435,0
,,,,,,,,,,,,331902544,,,,,0.5,,0,,,,,,0,0,0
